Sno.,PName,Desc,Keywords,Date,Plink
1,Co-Robotic Navigation Aid for the Visually Impaired,"The Co-Robotic Navigation Aid for the Visually Impaired is a co-robotic navigation aid that enhances mobility for visually and physically impaired. The goal is to develop a co-robotic cane for the visually impaired that has enhanced navigation capabilities and that can relay critical information about the environment to its user.Using computer vision, the proposed cane recognizes indoor structures such as stairways and doors, as well as detect potential obstacles. Using an intuitive human-device interaction mechanism, the cane will then convey the appropriate travel direction to the user.The objective if the project is to develop enabling technology for a co-robotic navigation aid, called a Co-Robotic Cane (CRC). The CRC collaborates with users via intuitive Human-Device Interaction (HDl) mechanisms for effective navigation in 3D environments. The CRCs navigational functions include device position estimation, wayfinding, obstacle detection/avoidance, and object recognition. The use of the CRC will improve the visually impaired's independent mobility and thus their quality of life. ","['human-device interaction mechanism', 'door', 'Visually Impaired', 'information', 'structure', 'life', 'cane', 'mobility', 'navigation capabilities', 'navigation', 'function', 'position estimation', 'use', 'obstacle detection/avoidance', 'user', 'goal', 'project', 'CRC', 'HDl', 'Cane', 'stairway', 'obstacle', 'computer vision', 'Human-Device Interaction', 'quality', 'environment', 'objective', 'travel direction', 'CRCs', 'technology', 'Navigation Aid', 'mechanism', 'navigation aid', 'recognition']",10/04/2016,https://abledata.acl.gov/product/co-robotic-navigation-aid-visually-impaired
2,Intro To The Piano For The Visually Impaired & Piano Course 2 For The Visually Impaired,"Intro to the Piano for the Visually Impaired and Piano Course 2 for the Visually Impaired are audio music training courses designed for use by individuals who are blind or have low vision. Intro to the Piano for the Visually Impaired is a four-part course that teaches the basics of playing the piano without using any written or Braille notation or visual references. In the course, the student learns the keys of C and G, the songs ""Minuet in G"" by Bach, ""The Rose"", and the ""Theme from Love Story."" Piano Course 2 for the Visually Impaired continues the course, teaching new songs and how to go about learning to play the piano by ear. ""My Heart Will Go On"" from the Piano by Ear library is included with the course. OPTIONS: Audio cassette or CD.","['Visually Impaired', 'Heart Will Go', 'key', 'CD', 'course', 'student', 'Bach', 'Braille notation', 'Minuet', 'Love Story', 'Intro', 'use', 'cassette', 'C', 'Piano', 'reference', 'Piano Course', 'individual', 'song', 'piano', 'Ear library', 'ear', 'vision', 'music training courses', 'G', 'Rose', 'basic', 'Theme']",04/23/2003,https://abledata.acl.gov/product/intro-piano-visually-impaired-piano-course-2-visually-impaired
3,Visually Impaired Assistant (Via),"-------- PROTOTYPE --------- PURPOSE: To design a prototype of an electronic obstacle detector and navigation aid for individuals who are blind or have low vision. The Visually Impaired Assistant (VIA) is a pair of devices worn on the hands that use video motion detection technology combined with 4 mini cameras to detect obstacles as a person walks. It is intended to be used in place of a white cane. As the one of the VIA devices detects obstacles, it vibrates to warn the user to turn away from the obstruction. To aid with navigation, the VIA has a voice-operated GPS system. The user speaks a location into the GPS device, and it guides him/her to that destination. The VIA devices use separate vibration mechanisms from the obstacle alert feature to guide the user toward the final destination. VIA is charged with a wirelessly functioning mat. TITLE: Visually Impaired with Fine Hands. WEBSITE: Yanko Design. REF: http://www.yankodesign.com/2010/09/21/visually-impaired-with-fine-hands.","['feature', 'REF', 'Impaired', 'cane', 'GPS device', 'navigation', 'mini cameras', 'TITLE', 'Yanko Design', 'person walks', 'device', 'mat', 'hand', 'VIA devices', 'user', 'destination', 'vibration mechanisms', '//www.yankodesign.com/2010/09/21/visually-impaired-with-fine-hands', 'individual', 'Visually Impaired Assistant', 'obstacle', 'location', 'VIA', 'http', 'obstacle detector', 'GPS system', 'pair', 'obstruction', 'vision', 'Fine Hands', 'place', 'prototype', 'motion detection technology', 'WEBSITE', 'navigation aid', 'PURPOSE', 'PROTOTYPE']",03/16/2011,https://abledata.acl.gov/product/visually-impaired-assistant
4,Getting To Know You: A Social Skills and Ability Awareness Curriculum,"Getting To Know You is a social skills/awareness curriculum for grades K-12 in which blind and visually impaired students and sighted students interact and get to know each other. 
Social skills instruction provides students with tools to interact and play effectively, develop and maintain friendships, interpret non-verbal cues, and successfully seek and maintain employment and independent living opportunities as adults. For blind and visually impaired students, the acquisition of social skills is a process that requires ongoing instruction and feedback from teachers, specialists, family members, and peers.
 
The Getting to Know You kit is designed for VI teachers, orientation & mobility specialists, other related service personnel, general education teachers, and families. Authors Nita Crow and Stephanie Herlich have created a curriculum that engages students who are blind and visually impaired with their sighted age-mates in activities that promote social competence and awareness of the ways in which students who are blind or visually impaired learn social skills.
 
Lessons can be initiated at lunch or during classroom free time. Each lesson takes 30-45 minutes to complete so that interference with academic activities is limited. Each lesson contains a clearly stated objective, skills addressed, an introduction, a list of materials needed, and a step-by-step explanation of the activities. An icon at the top of each page identifies whether a lesson is about social skills, ability awareness, or a combination of the two.","['mobility specialists', 'family members', 'VI teachers', 'lunch', 'tool', 'blind', 'process', 'ability awareness', 'students interact', 'skills/awareness curriculum', 'combination', 'grades K-12', 'education teachers', 'page', 'student', 'icon', 'Authors Nita Crow', 'competence', 'Social', 'feedback', 'adult', 'service personnel', 'acquisition', 'peer', 'Stephanie Herlich', 'teacher', 'curriculum', 'age-mates', 'activity', 'orientation', 'way', 'lesson', 'employment', 'minute', 'awareness', 'Lessons', 'instruction', 'interference', 'time', 'cue', 'material', 'family', 'specialist', 'living opportunities', 'Know', 'friendship', 'list', 'introduction', 'skill', 'top', 'explanation']",03/25/2015,https://abledata.acl.gov/product/getting-know-you-social-skills-and-ability-awareness-curriculum
5,Navigational Aids For The Visually Impaired (Navi),"---- PROTOTYPE --------- PURPOSE: To create a prototype of an adapted Kinect sensor to help improve the indoor navigation of individuals with visual disabilities. Engineering students at the University of Konstanz in Germany have developed a prototype to improve indoor navigation for individuals with visual impairment using the Microsoft Kinect camera, a vibrotactile waistbelt, and markers from the AR-Toolkit. Navigational Aids for the Visually Impaired (NAVI), consists of a helmet-mounted Kinect sensor connected to a computer in a backpack, a special belt containing vibration motors to warn the users of obstacles ahead and to the sides, and a Bluetooth headset to provide verbal feedback. Altogether, the NAVI device assists and individual with who are blind or have low vision navigate to a specific location with tactile and verbal warnings of objects in their path. The system can even detect bar-coded signs and provide further information to the user. The Kinect is mapped onto three pairs of Arduino LilyPad vibration motors located at the left, center and right of the waist. These pairs of vibration motors are hot glued into a fabric waist belt and connected to an Arduino 2009 board. To increase the impact of the vibration motors, each was they put into the cap of a plastic bottle. The Arduino in the waist belt is connected via USB to a laptop that is mounted on a special backpack and has holes for cables and fan. Students wanted to utilize the RGB camera of the Kinect, so they placed several markers of the AR-Toolkit on the walls and doors of the building thereby modeling a certain route from one room to another. The markers are tracked continuously all along the way and the developed software provided synthesized auditory navigation instructions for the person. These navigation instructions vary based on the distance of the person to the marker . For example, if the user walks toward a door, the output will be “Door ahead in 3”, “2”, “1”, “pull the door” as the distance to the marker on the door is reduced. The software was written with C# and .NET. Students used the MangedOpenNI (https://github.com/kobush/ManagedOpenNI) wrapper for the Kinect and the managed wrapper of the ARToolkitPlus (http://code.google.com/p/comp134artd) for marker tracking. Voice synthesis was done using Microsoft’s Speech API (http://msdn.microsoft.com/en-us/speech/default). All input streams were glued together using Reactive Extensions for .NET (http://msdn.microsoft.com/en-us/devlabs/ee794896). TITLE: Project NAVI, a Kinect Hack That Helps Visually Impaired Navigate Indoors. WEBSITE: medGadget. REF: http://www.medgadget.com/archives/2011/03/project_navi_a_kinect_hack_tha....","['”', 'object', 'Voice synthesis', '.NET', 'stream', 'feedback', '//www.medgadget.com/archives/2011/03/project_navi_a_kinect_hack_tha', 'vision navigate', 'user', 'system', 'AR-Toolkit', 'individual', 'Extensions', 'example', 'Arduino LilyPad vibration motors', 'door ”', 'disability', 'vibration motors', 'http', '//msdn.microsoft.com/en-us/speech/default', 'Bluetooth headset', 'prototype', '//code.google.com/p/comp134artd', 'REF', 'Speech API', 'wrapper', 'path', 'belt', 'RGB camera', 'USB', 'MangedOpenNI', 'output', 'left', 'impairment', 'Kinect', 'medGadget', 'Germany', 'person', 'sign', 'software', 'Konstanz', 'laptop', 'side', 'WEBSITE', 'hole', 'PURPOSE', 'door', 'NAVI', 'Visually Impaired', 'cap', 'Kinect Hack That Helps Visually Impaired Navigate Indoors', 'computer', 'wall', 'Door', 'center', 'student', 'building', 'TITLE', 'navigation instructions', 'route', 'board', 'location', 'distance', 'Arduino', 'pair', 'bottle', 'tactile', 'Navigational Aids', 'right', 'Project NAVI', 'information', 'room', 'Microsoft Kinect camera', 'navigation', 'waist', 'impact', 'ARToolkitPlus', 'marker', 'University', '//github.com/kobush/ManagedOpenNI', 'C', 'marker tracking', 'cable', 'way', 'backpack', 'obstacle', 'fan', 'Microsoft ’', 'warning', 'waist belt', 'vibrotactile waistbelt', 'Kinect sensor', 'NAVI device assists', 'Students', 'PROTOTYPE']",09/03/2011,https://abledata.acl.gov/product/navigational-aids-visually-impaired-navi
6,Anple,---- PROTOTYPE --------- PURPOSE: To design a prototype rice cooker for individuals who are blind or have low vision. The rice cooker features three buttons to set the water and heating level and includes a speaker to speak the existing settings so that the visually impaired user can ensure everything is correct. The ANPLEe also has an ergonomic handle to open the cover All the user needs to do is load in the ingredients and set the commands. AUTHOR: Matthew Chung. TITLE: ANPLE Rice Cooker for the Visually Impaired. WEBSITE: übergizmo®. REF: http://www.ubergizmo.com/2010/12/anple-rice-cooker-for-the-visually-impa....,"['heating level', 'ANPLEe', 'Visually Impaired', 'REF', 'water', 'speaker', 'AUTHOR', 'cover', 'TITLE', 'command', 'ingredient', 'rice cooker features', 'user', 'ANPLE Rice Cooker', 'button', 'individual', 'load', 'prototype rice cooker', 'übergizmo®', 'everything', 'http', 'vision', 'Matthew Chung', 'setting', 'handle', 'WEBSITE', 'PURPOSE', 'PROTOTYPE']",08/19/2011,https://abledata.acl.gov/product/anple
7,Plan.b,"---- PROTOTYPE --------- PURPOSE: To design a prototype of an electronic refreshable map of the urban environment for individuals who are blind or have low vision. A German designer has developed plan.b, a digital street map projected onto a refreshable tactile display to provide a tactile representation of surroundings to the visually impaired to aid a person to navigate safely. It also offers additional audio information by pressing the displayed structures as well. The plan.b provides important information on proportions of architecture and distances, facilitating independent movement regardless of whether the user is familiar with the locality. AUTHOR: Naresh Chauhan. TITLE: plan.b digital map to guide visually impaired in crowded city lanes. WEBSITE: The Design Blog. REF: http://www.thedesignblog.org/entry/planb-digital-map-to-guide-visually-i....","['REF', 'information', 'plan.b', 'structure', 'movement regardless', 'designer', 'AUTHOR', 'TITLE', 'proportion', 'user', 'audio information', 'individual', 'person', 'distance', 'architecture', 'http', 'Naresh Chauhan', 'environment', 'vision', 'Design Blog', 'representation', 'surroundings', 'street map', 'tactile display', 'locality', 'prototype', 'city lanes', 'WEBSITE', 'map', 'PURPOSE', 'PROTOTYPE']",08/19/2011,https://abledata.acl.gov/product/planb
8,DIY Talking Shampoo/Conditioner Bottle for the Elderly/Visually-Impaired,"Talking Shampoo/Conditioner Bottle for the Elderly/Visually-Impaired is an auditory alert to a shampoo/conditioner bottle. This is intended as an assistive device for the elderly, the visually-impaired, the mentally-impaired, or anyone who would like their shampoo/conditioner bottle to say something when the lid is opened. MaterialsPacking tape","['anyone', 'alert', 'device', 'something', 'tape', 'Shampoo/Conditioner Bottle', 'Elderly/Visually-Impaired', 'shampoo/conditioner bottle', 'lid']",07/07/2015,https://abledata.acl.gov/product/diy-talking-shampooconditioner-bottle-elderlyvisually-impaired
9,Sentire Walking Cane,"---- PROTOTYPE --------- PURPOSE: To design a prototype of a walking cane for individuals who are blind or have low vision. The Sentire walking cane is the result of a study of visually impaired users' preference between various tools for mobility, including the standard cane and the guide dog. The Sentire merges the advantages of each type of mobility tool. Its design features a carbon fiber body for reduced weight and extended life as well as enhanced ergonomics for a truly custom feel. By fine tuning these small details, the user can experience comfort and added safety to this everyday necessity for those who are blind or have low vision. TITLE: Enhancements for the Visually Impaired. WEBSITE: Yanko Design. REF: http://www.yankodesign.com/2011/11/15/enhancements-for-the-visually-impa....","['REF', 'study', 'Visually Impaired', 'detail', 'tool', 'life', 'cane', 'mobility', 'PROTOTYPE', 'Sentire', 'TITLE', 'guide dog', 'Design', 'walking cane', 'user', 'Enhancements', 'comfort', 'result', 'individual', 'design', 'ergonomics', 'Sentire walking cane', 'preference', 'advantage', 'weight', 'http', 'carbon fiber body', 'custom feel', 'mobility tool', 'vision', 'type', 'safety', 'prototype', 'WEBSITE', 'PURPOSE', 'necessity']",03/28/2012,https://abledata.acl.gov/product/sentire-walking-cane
10,Soft Pet,"---- PROTOTYPE --------- PURPOSE: To create a prototype of a mobile phone with call-and-respond naming capacity for individuals who are blind or have low vision. Dubbed the Soft Pet by its designers, this mobile phone responds to its assigned name when called much like a pet does. In addition to the call-and-respond naming capability, the Soft Pet offers speech input and output functionality and Braille buttons. The user gives the Soft Pet mobile phone a name much like they would a pet. When the user calls the phone's name, it responds audibly so the user to easily locate his or her cellular phone in case it gets misplaced or they are unable to locate it. The Soft Pet is soft to touch and is draped in soft and smooth silicone making it comfortable to hold. The device can also sense the presence of a user's contacts and if the contact is nearby, the phone can describe the distance with its speech function. Pet Soft also has an emergency call button should the user need assistance. Soft Pet will come with soft silicone tray on which the user will place the device when not in use. The tray also will act as a wireless charger. AUTHOR: Jaspreet Kaur Walia. TITLE: Soft Pet mobile phone for the visually impaired responds when its name is called. WEBSITE: Design Buzz. REF: http://www.designbuzz.com/soft-pet-mobile-phone-visually-impaired-respon....","['REF', 'contact', 'call-and-respond naming capacity', 'Braille buttons', 'speech input', 'Pet', 'Jaspreet Kaur Walia', 'case', 'output functionality', 'name', 'designer', 'AUTHOR', 'TITLE', 'pet', 'device', 'use', 'phone', 'phone responds', 'addition', 'user', 'presence', 'wireless charger', 'call-and-respond naming capability', 'individual', '//www.designbuzz.com/soft-pet-mobile-phone-visually-impaired-respon', 'Pet mobile phone', 'distance', 'Pet Soft', 'http', 'emergency call button', 'silicone tray', 'vision', 'Soft Pet', 'speech function', 'user need assistance', 'responds', 'Design Buzz', 'prototype', 'tray', 'silicone', 'WEBSITE', 'PURPOSE', 'PROTOTYPE']",05/30/2012,https://abledata.acl.gov/product/soft-pet
